Scenario,SubScenario,Replication,Link Id,Density (veh/mi/ln),Avg. Speed (mi/h),Avg. Travel Time (s), Accel Noise-Mean Zero (ft/s2), Accel Noise-Mean NonZero (ft/s2), Flow Rate (veh/h/ln),Num PC,% PC,Num SUT,% SUT,Num IMST,% IMST,Num ISST,% ISST,Num DST,% DST,Total Num Vehs,Veh Hours Traveled,Veh Miles Traveled,Delay Left,Delay Through,Delay Right, Volume Left, Volume Through, Volume Right, Total Stops
1,0,1,5801,9.70,59.82,5.70,1.756,1.395,580.0,114,78.62,16,11.03,5,3.45,10,6.90,0,0.00,145,0.2296,13.7311,0.00,70.82,0.00,0,145,0,0
1,0,1,45,9.91,58.10,371.77,0.048,0.046,576.0,113,78.47,16,11.11,5,3.47,10,6.94,0,0.00,144,14.8709,864.0000,0.00,5975.75,0.00,0,144,0,0
1,0,1,34,14.63,58.77,122.52,0.047,0.043,860.0,173,80.47,25,11.63,9,4.19,8,3.72,0,0.00,215,7.3169,430.0000,0.00,2706.17,0.00,0,215,0,0
1,0,1,23,13.78,58.36,185.07,0.485,0.468,804.0,156,77.61,25,12.44,9,4.48,11,5.47,0,0.00,201,10.3328,603.0000,0.00,4192.41,0.00,0,201,0,0
1,0,1,12,14.70,43.00,334.91,0.954,0.954,632.0,132,83.54,12,7.59,8,5.06,6,3.80,0,0.00,158,14.6988,632.0000,0.00,18306.83,0.00,0,158,0,0
1,0,1,7011,22.20,44.87,7.60,0.322,0.317,996.0,199,79.92,23,9.24,15,6.02,12,4.82,0,0.00,249,0.5255,23.5795,0.00,23.71,0.00,0,249,0,0
1,0,1,1802,11.49,60.56,5.63,1.618,1.358,696.0,146,83.91,13,7.47,6,3.45,9,5.17,0,0.00,174,0.2721,16.4773,0.00,73.55,0.00,0,174,0,0
1,0,1,21,11.56,59.50,242.03,0.077,0.077,688.0,144,83.72,13,7.56,6,3.49,9,5.23,0,0.00,172,11.5635,688.0000,0.00,3767.22,0.00,0,172,0,0
1,0,1,32,13.63,59.86,180.41,0.036,0.035,816.0,168,82.35,17,8.33,11,5.39,8,3.92,0,0.00,204,10.2232,612.0000,0.00,3162.33,0.00,0,204,0,0
1,0,1,43,14.06,60.03,119.94,0.064,0.059,844.0,169,80.09,20,9.48,13,6.16,9,4.27,0,0.00,211,7.0301,422.0000,0.00,2165.98,0.00,0,211,0,0
1,0,1,54,10.13,61.21,352.86,0.140,0.140,620.0,118,76.13,17,10.97,12,7.74,8,5.16,0,0.00,155,15.1927,930.0000,0.00,3627.96,0.00,0,155,0,0
1,0,1,7025,15.36,64.57,5.28,0.386,0.383,992.0,192,77.42,27,10.89,17,6.85,12,4.84,0,0.00,248,0.3637,23.4848,0.00,16.29,0.00,0,248,0,0
